,start,end,n_days,ann_return,ann_vol,daily_variance,skew,excess_kurtosis,sharpe,max_drawdown,VaR_95,VaR_99,CVaR_95,CVaR_99,hit_rate,best_day,worst_day,autocorr_1d,cagr,sortino,calmar,info_ratio,avg_monthly_turnover,ann_cost_drag,alpha_vs_carry_ann,t_alpha_vs_carry
U21_carry_gross,2007-05-01,2026-06-30,5001,0.06943621781171024,0.11209541881690868,4.98626306338816e-05,-0.7336808676649488,5.920654535170597,0.6194384975279325,-0.23506564268384111,0.010552152206241061,0.020772985394032068,0.017244182186222493,0.030107543302018182,0.5426914617076585,0.04814585761087795,-0.0605516761084039,-0.02275946133596968,0.06516060507477284,0.8478075121877242,0.27720173961114614,0.5071463354953201,0.46799014687377627,,,
U21_carry_net,2007-05-01,2026-06-30,5001,0.05562984043711393,0.1121031187943271,4.9869481124662754e-05,-0.7344413973098778,5.895624919005497,0.4962381157225131,-0.25756843076899993,0.010651194430771666,0.020772985394032068,0.017322676416950785,0.030107543302018182,0.5386922615476905,0.04814585761087795,-0.0605516761084039,-0.024626546747589368,0.05055758965833679,0.6755957863710181,0.19628799036974887,0.38101147278857866,0.46799014687377627,0.013806377374596316,,
U21_iskew_gross,2007-05-01,2026-06-30,5001,0.03830137611070175,0.11860353927486444,5.582063304969964e-05,-1.072747892483609,10.907746842135095,0.3229361985727768,-0.33085375229804714,0.010960531018181174,0.023293967239064777,0.018497737830461495,0.0344034701025309,0.5326934613077384,0.05093631276634286,-0.08182982538958256,-0.050143662413802685,0.03172097465300183,0.4327291893634753,0.09587612179905466,0.19922056283336337,1.0494131503046604,,,
U21_iskew_net,2007-05-01,2026-06-30,5001,0.01563590243975395,0.11880177717865978,5.600738992384098e-05,-1.0680025690035178,10.807133717983328,0.13161337154275002,-0.5129049774911492,0.011066763744314548,0.02373115187311036,0.018621774738377308,0.034513951738138295,0.5278944211157769,0.05093631276634286,-0.08182982538958256,-0.050987041428070735,0.008576963054370168,0.17502148712828136,0.01672232368717493,0.01407494192405416,1.0494131503046604,0.0226654736709478,-0.027794733943189844,-1.585902684744154
U21_blendhi_gross,2007-05-01,2026-06-30,5001,0.033463013806331494,0.11580079755073706,5.321359013248726e-05,-0.908562382021338,7.0640594138774855,0.288970495144215,-0.3761988765530435,0.011041027988095888,0.02206869294542909,0.01826969989920672,0.032804242342641385,0.5414917016596681,0.04152386035566594,-0.06234859611629068,-0.040608518875462865,0.0270879590313593,0.3858313882366085,0.07200435918244943,0.1717583421913189,0.7281054542683876,,,
U21_blendhi_net,2007-05-01,2026-06-30,5001,0.017080559853230367,0.11586531335705517,5.327290015606583e-05,-0.9045479905405001,7.02619966685176,0.14741737072418068,-0.4734171043378206,0.011102725343622295,0.022365126853330045,0.018353093719732136,0.0328621435499231,0.5368926214757048,0.04152386035566594,-0.06234859611629068,-0.04260127441422789,0.010392126013027303,0.1957597693469317,0.02195131083732813,0.027280771236546493,0.7281054542683876,0.016382453953101134,-0.03329867952058819,-2.8404396694785174
U21_blendlo_gross,2007-05-01,2026-06-30,5001,0.007370217398083701,0.11442288866203257,5.1954751784777386e-05,-0.06067205420219404,8.459731009485893,0.06441208996088964,-0.38285121995167937,0.010986982263057773,0.018136347931704645,0.016255590167102617,0.02689417382053203,0.49870025994801037,0.07581122570448326,-0.06265996251355088,-0.006031053381888946,0.0008219909796944869,0.09068272690978742,0.00214702457993534,-0.04687452295955498,1.4494862776605333,,,
U21_blendlo_net,2007-05-01,2026-06-30,5001,-0.024416772719414316,0.11481534371208488,5.2311758538588035e-05,-0.049461048242542084,8.3202643866045,-0.2126612343785923,-0.5574544164240598,0.011114061523056318,0.01819496492702667,0.01640735835566589,0.02693530686963528,0.4887022595480904,0.07581122570448326,-0.06265996251355088,-0.0069916022448310135,-0.03053675190644778,-0.2958946773504015,-0.05477892183962579,-0.2673256071388466,1.4494862776605333,0.03178699011749801,-0.03169980672443847,-1.2040131340267548
U21_clean_gross,2007-05-01,2026-06-30,5001,0.023629955164468187,0.11502193394550128,5.250017971652087e-05,-0.4886305596461803,6.6214340977122195,0.20543868768251047,-0.332261373215477,0.011081254726626154,0.01843309778485261,0.01691085686869486,0.028609192358296287,0.5180963807238552,0.04350421840785063,-0.06808979549073045,-0.0005241442662306069,0.017144393709741745,0.28424124752406305,0.05159911771815655,0.07175627379412944,1.171009611959726,,,
U21_clean_net,2007-05-01,2026-06-30,5001,-0.0035586094594389295,0.1152907476814901,5.27458591307818e-05,-0.48187216486840906,6.523857035597397,-0.03086639241225307,-0.42381755499941753,0.011294857478468494,0.018867408060261933,0.01703835356033622,0.02874669538219124,0.5098980203959208,0.04350421840785063,-0.06808979549073045,-0.002312852692800706,-0.010168614769191509,-0.042279120784668986,-0.023992906025814536,-0.13055015386740637,1.171009611959726,0.027188564623907112,-0.02943720053828191,-1.1960739861717504
U21_srp_gross,2007-09-03,2026-06-30,4912,0.017235845699000742,0.11045238369764872,4.8411623271796093e-05,-0.48412572039672763,5.761042801715577,0.1560477476537037,-0.3485284692457602,0.010536224406888098,0.019883128048072636,0.016333851550382087,0.02679387219637652,0.5158794788273615,0.050428027166203676,-0.06676268881256665,-0.030178490853205252,0.011184549401896948,0.21513253064427032,0.032090777049292675,0.027589894451394547,1.2752000894740416,,,
U21_srp_net,2007-09-03,2026-06-30,4912,-0.010028256290885596,0.11070420776862008,4.863262546697541e-05,-0.48298240264668785,5.695645361658256,-0.09058604449656862,-0.49021150781042333,0.010642841330912332,0.019883128048072636,0.01648375262552364,0.026943511735308113,0.5077361563517915,0.050428027166203676,-0.06676268881256665,-0.03351629296036509,-0.016040437593236256,-0.12352460083049878,-0.0327214627516241,-0.1833462916108739,1.2752000894740416,0.027264101989886328,-0.03344942349673411,-1.5426971414255841
ALL_carry_gross,2007-05-01,2026-06-30,5001,0.07029004560222012,0.11184804136915838,4.9642795071892706e-05,-0.65215157306325,4.579733719813256,0.6284423467928719,-0.2678294999211406,0.010594454202481727,0.021711195215249522,0.017392479812147938,0.029185601642047237,0.5440911817636472,0.04132775344824964,-0.04905954467828443,0.010658595134984216,0.06610270482031888,0.8607033865306162,0.24680890208054784,0.49730352064917155,0.6754702284294828,,,
ALL_carry_net,2007-05-01,2026-06-30,5001,0.05214343433645578,0.1119142098626392,4.9701549084043035e-05,-0.6480046211041329,4.5434987215595175,0.46592326747832447,-0.29318494205516343,0.0106611582472443,0.021880182396760452,0.01749253185403459,0.02919874578407466,0.5382923415316937,0.04132775344824964,-0.04905954467828443,0.007721205573921591,0.046927046651773496,0.6341168503826068,0.1600595389477542,0.33764151945240606,0.6754702284294828,0.018146611265764313,0.0012602840977603766,0.1323568430171737
U21_srp126_gross,2007-06-01,2026-06-30,4978,0.028706716563080412,0.11352513642876202,5.1142684925273926e-05,-0.086919127882439,6.027496820910792,0.25286661144947503,-0.36512461377937955,0.010946460841235127,0.019753151293640667,0.016495184221521037,0.02717036018819699,0.5014061872237846,0.06274979960932295,-0.049396295915915885,-0.027416447316484568,0.022509308634649727,0.358957677124069,0.06164829152890416,0.11577845827019445,1.507032762374966,,,
U21_srp126_net,2007-06-01,2026-06-30,4978,-0.003505767565911335,0.11394595726486358,5.152254435319887e-05,-0.09560997049071303,5.892460798557932,-0.030766932413076275,-0.5629634399776002,0.011076026265898651,0.019898393860791643,0.01669527714529602,0.027354259845281184,0.4941743672157493,0.06274979960932295,-0.049396295915915885,-0.03169641444211235,-0.009951119201392244,-0.043055013687172954,-0.01767631518271984,-0.12483385018474293,1.507032762374966,0.032212484128991754,-0.02533592930230004,-1.0801663967630557
FXCTEM8,2007-05-01,2026-06-30,5001,0.012734499259061224,0.09000591334607835,3.2147081100245106e-05,-0.25315402470491133,4.895254767059007,0.14148514009403226,-0.3207736475898004,0.008958598394321449,0.015358261736972523,0.01338070005034299,0.02138682091030412,0.5240951809638073,0.03905460960462204,-0.0439542704461644,0.04486800933979499,0.00871826045862667,0.19571793963331277,0.027178855009235125,,,,,
