,start,end,n_days,ann_return,ann_vol,daily_variance,skew,excess_kurtosis,sharpe,max_drawdown,VaR_95,VaR_99,CVaR_95,CVaR_99,hit_rate,best_day,worst_day,autocorr_1d,info_ratio
AUD,2007-01-02,2026-06-30,5079,0.007356082523154752,0.12387817849771271,6.089604407901258e-05,-0.35459140636114217,10.573390474152179,0.05938158449182053,-0.446676134076207,0.011866999569609531,0.021375068560510208,0.01840147038496762,0.031548535468923375,0.5166371332939556,0.08282894111027211,-0.07282532199539257,-0.0377658339068434,0.10876073353832709
CAD,2007-01-02,2026-06-30,5079,-0.01014066537547295,0.0864270381048592,2.964140045864597e-05,-0.09271286460653297,3.443577892690626,-0.1173320941898946,-0.3982199916270811,0.008628122631591323,0.015362287041565998,0.012832530442159385,0.020307890495759186,0.4908446544595393,0.039972837962023174,-0.03250019412313805,-0.029129996158779318,-0.14076992381603892
CHF,2007-01-02,2026-06-30,5079,0.0006227921324629074,0.10323346775062336,4.229027326912299e-05,4.883865471489056,164.9912715701524,0.006032851032064132,-0.4462794656736929,0.00895658034468126,0.014671816663042365,0.012928402833021248,0.020423057238238104,0.4802126402835204,0.19380757601491863,-0.0909630874983335,-0.021124369515435223,0.026116696148367185
DKK,2007-01-02,2026-06-30,5077,-0.017163537251194,0.08732536956213756,3.0260794322078962e-05,0.11515237089667082,2.499703794898863,-0.19654697526336892,-0.4939392993955867,0.008532536326216885,0.015159921106955434,0.012472604054317184,0.01807741553812829,0.4959621823911759,0.03503911757647315,-0.024399300880034613,0.009617428012954624,-0.29210095476140524
EUR,2007-01-02,2026-06-30,5079,-0.016548692828482422,0.08742639323582528,3.033085013581411e-05,0.10714223382469834,2.4605704504071197,-0.1892871502069601,-0.4923986347856132,0.008605891705287834,0.015179815296414823,0.012501599934108109,0.018097389504987085,0.4971451073045875,0.034510902009672426,-0.024298698310957118,0.008881678675476106,-0.2724174106653096
GBP,2007-01-02,2026-06-30,5079,-0.020127359481950425,0.09265291946846405,3.406572811916541e-05,-0.8140007034832566,11.257165055003552,-0.21723394791462675,-0.5323515287322214,0.009098148268089164,0.01587849410278293,0.013580623929310271,0.02252566673265007,0.4999015554242961,0.03099541134313447,-0.08396373961939112,0.04116855176424291,-0.2693972858983885
HKD,2007-01-02,2026-06-30,5074,-0.005611718973823119,0.006182144132256967,1.5166232568253667e-07,0.9229234833727524,13.02359854993691,-0.9077302071529675,-0.10679837529300706,0.0005811894628554069,0.0011156190938580606,0.0009183118863006302,0.001508619637929053,0.4389042175798187,0.003955034294834108,-0.002672867554301175,0.020498265427251403,-0.07609242679829012
JPY,2007-01-02,2026-06-30,5079,-0.03599264512641218,0.09847614854447077,3.848234854028838e-05,0.1580427068120282,4.977158765321741,-0.365496068422683,-0.6831941963953234,0.009493043675498582,0.016887090937378283,0.01399718005545692,0.022118247698113037,0.47529041149832646,0.03835316390881882,-0.05513698614759596,-0.027776540523760083,-0.32173266359632224
NOK,2007-01-02,2026-06-30,5073,-0.01848353687159606,0.12437260666826078,6.138311622800756e-05,-0.33502659854313294,4.335468194248353,-0.14861421149511825,-0.5900500595288571,0.012701351164362568,0.02116718634245291,0.018528227091629004,0.028218313433941183,0.5020697811945595,0.049848773039110006,-0.07255983099957085,-0.00998920879221224,-0.20489695420254553
NZD,2007-01-02,2026-06-30,5079,0.005010760706275165,0.12227813479763859,5.933310416503759e-05,-0.2875223739809028,3.447871748626578,0.04097838681108122,-0.38094322680684867,0.012237160598694528,0.021025947817682748,0.017983023383240274,0.028167847893303267,0.5103366804489072,0.04345463864945211,-0.0672139722455727,-0.0046202006617787695,0.0792944268515697
SEK,2007-01-02,2026-06-30,5079,-0.0250350423357364,0.11721172521994926,5.4518208448559075e-05,-0.02356540396119697,2.8722461111146687,-0.21358820790972774,-0.5896751174844381,0.011803641733267074,0.020041791043779834,0.01703526959272968,0.025500160320572833,0.49970466627288834,0.04983015817024485,-0.042188648709874606,-0.019593255399355382,-0.3004612911664281
BRL,2007-01-03,2026-06-30,4709,0.03226597014505194,0.16354367520494656,0.00010613703849024226,-0.14989344455600528,4.454706973957248,0.19729268102002406,-0.5149913507343284,0.01610769986887675,0.027425046445830853,0.02360803939122059,0.037490680997089076,0.5117859418135485,0.07633312183649524,-0.07081034584146517,-0.06263222434136073,0.2074922789160348
CLP,2007-01-03,2026-06-26,4593,-0.008932429642371184,0.1210963719160604,5.819179083822549e-05,-0.09265260460972859,4.361088336997424,-0.07376298315991514,-0.5089202353335518,0.01185727918505296,0.02146664108756365,0.017895734854966906,0.02779189759895405,0.5103418245155672,0.0739732259424053,-0.04570956559846382,0.03903463067328468,-0.09599485128500741
CNH,2010-08-27,2026-06-30,4103,0.008033580956517778,0.04167566306279073,6.892305125885951e-06,0.026056614968808033,8.665127598221936,0.1927643225355279,-0.19854487656233355,0.003909094000053144,0.00742837421723998,0.006171736343792672,0.009881091626869724,0.5218133073360955,0.019896998271068812,-0.02735048659060759,-0.020534051193472392,0.3469161272540019
COP,2007-01-03,2026-06-26,4563,0.0020583252900734416,0.1313802001299406,6.849506740548904e-05,-0.05942841833867136,4.9142802428216505,0.015666936783759428,-0.6186508238687496,0.013124355670116838,0.023658024110719055,0.01951084278069971,0.030203526635562406,0.5156695156695157,0.07625629685466713,-0.055943167311464065,0.08334385949970534,0.024902904238901742
HUF,2007-01-02,2026-06-30,5004,-0.002682758823721141,0.1404368743050203,7.82639510498574e-05,-0.1601144393464168,3.5596925513194564,-0.019102951678448447,-0.6239422412111223,0.013820025711917516,0.025500014023627227,0.020970514607698106,0.031876756650051394,0.509392486011191,0.055301256790067,-0.06849621778550653,0.029518779753678434,-0.006234003657140303
IDR,2007-01-03,2026-06-30,4589,0.011854868257548964,0.07031691423818483,1.962090646023905e-05,0.26521733359708344,21.876514111858402,0.16859198652251592,-0.2435909012210934,0.005973828580073008,0.011271019647926383,0.010141529546599021,0.018885364378703896,0.5118762257572456,0.06469995152809146,-0.04444072739916888,0.0742140021798176,0.17153044758428007
ILS,2007-01-03,2026-06-30,5027,0.02023050374934514,0.08362348255230526,2.7749550929268658e-05,-0.07191655840461328,3.1157494611902736,0.2419237172607737,-0.24046801061964473,0.008394110715021713,0.01465757799348661,0.012107524609123942,0.01904941545895817,0.5162124527551223,0.03171036389160715,-0.029918951241793754,0.03301889333685106,0.2453085200674292
INR,2007-01-03,2026-06-30,4383,-0.007774968649285763,0.06597677713676597,1.7273552068867006e-05,-0.2400811915171913,7.457352213442755,-0.11784402007343753,-0.3264320983814142,0.006709402821206744,0.01231129515399826,0.010251651569761626,0.01661314860188174,0.5160848733744011,0.03379876659913607,-0.038797004158746165,0.03301144553611635,0.08027111815529027
KRW,2007-01-03,2026-06-30,4422,-0.024573847575342842,0.10995819506301663,4.797938357744609e-05,0.9042827298902033,47.03069657954428,-0.2234835480998907,-0.43177796967581616,0.009236089128273213,0.0176662991558321,0.015186225914315498,0.028430390146333542,0.49118046132971505,0.1321265260994109,-0.10279950732094098,1.8191820624706913e-05,-0.26178170123806965
MXN,2007-01-03,2026-06-30,5044,0.02024332164598622,0.12451117327225153,6.151996932393906e-05,-0.7283893771336347,8.327620453255605,0.16258237003134587,-0.4065061240531628,0.012292628580464452,0.021774269587429708,0.018890258262062545,0.0319008634664242,0.5291435368754956,0.06671605842246206,-0.0795988208678857,-0.01930200212118269,0.23114016417138583
MYR,2007-01-05,2026-06-30,4559,0.0008496844836225676,0.06328349592009753,1.5892066888369053e-05,0.4303775069343793,4.97170829593335,0.013426636301752181,-0.3020166560467208,0.0062542443765456045,0.010584739173880866,0.009007173405873472,0.013538568858579571,0.4900197411713095,0.034802005695977155,-0.019753199846079334,0.05253381192304683,0.03506531601812492
PEN,2007-01-03,2026-06-26,4591,0.016303616618109588,0.057671591471341335,1.319846215411623e-05,0.13870903973845303,7.188723623695525,0.28269753273951737,-0.20457586097224012,0.005400506257921336,0.010247178522962083,0.008614291245473195,0.01441260144741997,0.5275539098235679,0.0286563213540067,-0.02307086480521262,0.03707157045867137,0.22610243932826454
PHP,2007-01-04,2026-06-30,4574,0.006993383563364625,0.05559139589490987,1.2263505148986513e-05,0.03649898426929932,2.233579095264608,0.125799747439063,-0.22239488371954153,0.005802931327869932,0.00900556041139846,0.007866883445442402,0.011148659092243428,0.5155225185832969,0.025346995062293223,-0.01933177235414075,-0.034099601441592166,0.10074845764230764
PLN,2007-01-03,2026-06-30,5057,0.0024308179389883958,0.13288636664129772,7.007454936160876e-05,-0.19926220812391968,4.7380224123363055,0.01829245542960732,-0.5538722045966995,0.013112216110394632,0.023628778825491314,0.01993448675623245,0.032439612817965646,0.5131500889855646,0.0656151249108589,-0.05150448805767836,0.021262986620385192,0.05692663021085783
SGD,2007-01-02,2026-06-30,5062,0.0025119066869421637,0.05193957121931022,1.0705234358911897e-05,0.033972173706904064,3.903158763552834,0.048362099031119474,-0.1973412110010162,0.005075107919449449,0.008840828583556424,0.007332285084590838,0.011437603057265223,0.5059265112603714,0.02381182169557538,-0.026702416551430935,-0.015257665226413487,0.13926217861561382
THB,2007-01-03,2026-06-30,4681,0.004284505190141362,0.05884664854116619,1.374177795447435e-05,0.08267717193870178,6.935899659057875,0.07280797286431928,-0.27450269367055624,0.00570402233408896,0.01017270339029417,0.008510880502733032,0.013198511040049833,0.5161290322580645,0.0322105499496803,-0.03800133685113596,0.015749007340379696,0.09623634300679236
TRY,2007-01-04,2026-06-30,5071,-0.0025255069586958474,0.1541961886829639,9.435105001727063e-05,0.5647519878710727,66.24045560437172,-0.016378530366197526,-0.7251231594822567,0.0129198508948669,0.027593536804562814,0.0233456981035938,0.04567669691577566,0.5566949319660817,0.20913348823765307,-0.14670248163301702,0.08552814372631717,-0.004589792108560851
ZAR,2007-01-02,2026-06-30,5068,0.014145659969565445,0.1628326922313812,0.00010521621293380837,-0.9346909944514725,12.570946215055152,0.08687235822069941,-0.49840512993450314,0.01648996640469069,0.02605082217562856,0.023583511066292806,0.03670018409952934,0.5209155485398579,0.06672328006980278,-0.1546184552218123,-0.016085339661973962,0.12919620375370738
