group,ticker,fields
g10_fx_spot_forward,AUD Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,CAD Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,CHF Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,EUR Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,GBP Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,JPY Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,NOK Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,NZD Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,SEK Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,DKK Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,HKD Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,AUD1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,AUD1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,AUD3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,AUD6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,AUD12M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,CAD1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,CAD1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,CAD3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,CAD6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,CAD12M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,CHF1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,CHF1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,CHF3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,CHF6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,CHF12M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,EUR1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,EUR1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,EUR3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,EUR6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,EUR12M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,GBP1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,GBP1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,GBP3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,GBP6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,GBP12M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,JPY1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,JPY1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,JPY3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,JPY6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,JPY12M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,NOK1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,NOK1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,NOK3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,NOK6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,NOK12M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,NZD1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,NZD1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,NZD3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,NZD6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,NZD12M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,SEK1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,SEK1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,SEK3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,SEK6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,SEK12M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,DKK1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,DKK1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,DKK3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,DKK6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,DKK12M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,HKD1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,HKD1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,HKD3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,HKD6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_spot_forward,HKD12M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,MXN Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,ZAR Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,BRL Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,KRW Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,IDR Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,MYR Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,PHP Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,CLP Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,COP Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,PEN Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,SGD Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,CNH Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,CNY Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,INR Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,THB Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,PLN Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,HUF Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,TRY Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,ILS Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,MXN1M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,MXN3M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,MXN6M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,MXN12M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,ZAR1M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,ZAR3M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,ZAR6M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,ZAR12M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,MYR1M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,MYR3M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,MYR6M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,MYR12M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,PHP1M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,PHP3M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,PHP6M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,PHP12M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,SGD1M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,SGD3M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,SGD6M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,SGD12M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,CNH1M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,CNH3M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,CNH6M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,CNH12M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,CNY1M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,CNY3M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,CNY6M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,CNY12M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,THB1M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,THB3M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,THB6M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,THB12M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,PLN1M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,PLN3M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,PLN6M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,PLN12M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,HUF1M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,HUF3M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,HUF6M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,HUF12M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,TRY1M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,TRY3M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,TRY6M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,TRY12M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,ILS1M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,ILS3M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,ILS6M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,ILS12M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,BCN1M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,BCN3M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,BCN6M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,BCN12M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,KWO1M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,KWO3M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,KWO6M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,KWO12M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,IHO1M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,IHO3M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,IHO6M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,IHO12M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,PPN1M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,PPN3M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,PPN6M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,PPN12M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,CHN1M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,CHN3M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,CHN6M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,CHN12M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,CLN1M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,CLN3M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,CLN6M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,CLN12M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,PSN1M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,PSN3M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,PSN6M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,PSN12M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,INR1M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,INR3M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,INR6M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,INR12M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,IRN1M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,IRN3M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,IRN6M Curncy,"PX_LAST,PX_BID,PX_ASK"
em_fx_spot_forward,IRN12M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,EURUSDV1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,EURUSDV1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,EURUSDV3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,EURUSDV6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,EURUSDV1Y Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,EURUSD25R1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,EURUSD25R1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,EURUSD25R3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,EURUSD25R6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,EURUSD25R1Y Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,EURUSD25B1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,EURUSD25B1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,EURUSD25B3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,EURUSD25B6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,EURUSD25B1Y Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,EURUSD10R1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,EURUSD10R1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,EURUSD10R3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,EURUSD10R6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,EURUSD10R1Y Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,EURUSD10B1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,EURUSD10B1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,EURUSD10B3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,EURUSD10B6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,EURUSD10B1Y Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDJPYV1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDJPYV1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDJPYV3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDJPYV6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDJPYV1Y Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDJPY25R1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDJPY25R1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDJPY25R3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDJPY25R6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDJPY25R1Y Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDJPY25B1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDJPY25B1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDJPY25B3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDJPY25B6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDJPY25B1Y Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDJPY10R1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDJPY10R1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDJPY10R3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDJPY10R6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDJPY10R1Y Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDJPY10B1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDJPY10B1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDJPY10B3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDJPY10B6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDJPY10B1Y Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,GBPUSDV1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,GBPUSDV1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,GBPUSDV3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,GBPUSDV6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,GBPUSDV1Y Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,GBPUSD25R1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,GBPUSD25R1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,GBPUSD25R3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,GBPUSD25R6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,GBPUSD25R1Y Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,GBPUSD25B1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,GBPUSD25B1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,GBPUSD25B3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,GBPUSD25B6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,GBPUSD25B1Y Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,GBPUSD10R1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,GBPUSD10R1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,GBPUSD10R3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,GBPUSD10R6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,GBPUSD10R1Y Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,GBPUSD10B1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,GBPUSD10B1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,GBPUSD10B3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,GBPUSD10B6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,GBPUSD10B1Y Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCHFV1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCHFV1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCHFV3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCHFV6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCHFV1Y Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCHF25R1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCHF25R1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCHF25R3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCHF25R6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCHF25R1Y Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCHF25B1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCHF25B1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCHF25B3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCHF25B6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCHF25B1Y Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCHF10R1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCHF10R1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCHF10R3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCHF10R6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCHF10R1Y Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCHF10B1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCHF10B1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCHF10B3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCHF10B6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCHF10B1Y Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCADV1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCADV1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCADV3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCADV6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCADV1Y Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCAD25R1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCAD25R1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCAD25R3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCAD25R6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCAD25R1Y Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCAD25B1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCAD25B1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCAD25B3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCAD25B6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCAD25B1Y Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCAD10R1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCAD10R1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCAD10R3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCAD10R6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCAD10R1Y Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCAD10B1W Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCAD10B1M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCAD10B3M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCAD10B6M Curncy,"PX_LAST,PX_BID,PX_ASK"
g10_fx_options,USDCAD10B1Y Curncy,"PX_LAST,PX_BID,PX_ASK"
